SETOR,LOCALIZACAO,CODIGO,QTD,ALMOXARIFADO
PERFIL,,130152,"57,6",Almox Central
PERFIL,,130256,106,Almox Central
PERFIL,,130552,"234,82",Almox Central
PERFIL,,130590,"577,48",Almox Central
PERFIL,,130631,69,Almox Central
PERFIL,,130634,340,Almox Central
PERFIL,,133644,6,Almox Central
PERFIL,,134011,"5023,868",Almox Central
PERFIL,,134016,"316,074",Almox Central
PERFIL,,134017NAC,"2577,9618",Almox Central
PERFIL,,134018,301,Almox Central
PERFIL,,134018NAC,"3133,44",Almox Central
PERFIL,,134019NAC,"1211,28",Almox Central
PERFIL,,134020NAC,"1202,8838",Almox Central
PERFIL,,134021,"116,3",Almox Central
PERFIL,,134023,"243,86",Almox Central
PERFIL,,134024,"103,9",Almox Central
PERFIL,,134025,"42,0696",Almox Central
PERFIL,,134026,"61,9354",Almox Central
PERFIL,,134031NAC,"3183,31",Almox Central
PERFIL,,134032,"37,68",Almox Central
PERFIL,,134033,40,Almox Central
PERFIL,,134034,"67,82",Almox Central
PERFIL,,134035,"1808,6",Almox Central
PERFIL,,134036,"11,6",Almox Central
PERFIL,,134037,84,Almox Central
PERFIL,,134038,"5,1",Almox Central
PERFIL,,134040,54,Almox Central
PERFIL,,134043,132,Almox Central
PERFIL,,134044,"2,3",Almox Central
PERFIL,,134045,60,Almox Central
PERFIL,,134048,6,Almox Central
PERFIL,,134049,"47,873",Almox Central
PERFIL,,134050,"150,42",Almox Central
PERFIL,,134051,"38,9",Almox Central
PERFIL,,134055NAC,"683,76",Almox Central
PERFIL,,134057,145,Almox Central
PERFIL,,134057NAC,"698,8844",Almox Central
PERFIL,,134060,"2255,76",Almox Central
PERFIL,,134062NAC,"3364,5135",Almox Central
PERFIL,,134063,"2250,91",Almox Central
PERFIL,,134063NAC,"536,4",Almox Central
PERFIL,,134066,"1867,75",Almox Central
PERFIL,,134088,90,Almox Central
PERFIL,,134447,32,Almox Central
PERFIL,,134449,56,Almox Central
PERFIL,,134451,"26,9257",Almox Central
PERFIL,,134453,"10,4758",Almox Central
PERFIL,,134455,"13,4",Almox Central
PERFIL,,134697,20,Almox Central
PERFIL,,134882,"47,5",Almox Central
PERFIL,,134883,"17,15",Almox Central
PERFIL,,134887,"154,771",Almox Central
PERFIL,,134891,38,Almox Central
PERFIL,,134030,"420,8792",Almox Central
PERFIL,,134053,106,Almox Central
PERFIL,,134077,133,Almox Central
PERFIL,,134078,"68,4",Almox Central
PERFIL,,134107,"267,475",Almox Central
PERFIL,,134110,14,Almox Central
PERFIL,,134123,202,Almox Central
PERFIL,,134124,169,Almox Central
PERFIL,,134127,"925,285",Almox Central
PERFIL,,134128,"203,19",Almox Central
PERFIL,,134132,"153,51",Almox Central
PERFIL,,134133,"100,94",Almox Central
PERFIL,,134134,70,Almox Central
PERFIL,,134144,456,Almox Central
PERFIL,,134156,"6,5559",Almox Central
PERFIL,,134157,"393,4354",Almox Central
